0,"반전도 있고, 사랑도 있고 재미도 있네요."
1,권한이 없습니다.
2,주택청약 자격을 받기 위한 무주택 기준을 조정해 주세요.
3,화상으로만 보다가 실제로 만나니 정말 반가웠습니다.
4,"꼬옥 실제로 한번 뵈어요, 뿌뿌뿌뿌~!~!"
5,"오, 마이 갓, 지저스, 스크론, 이스트 팬."
6,하늘은 암만 찍어도 까맣다.
7,처음에 이처럼 지겨운 공포영화를 본 적이 없다.
8,신생아실 관리가 가장 시급합니다!!!
9,크림하우스 환불 조치를 도와주실 수 있나요?
10,책에서 꺼내려고 해요!
11,속터진 전개가 너무 느리다.
12,오랜만에 존 쿠삭의 연기를 다시 보니 반갑다. 좋아요~~!!
13,큰 반전 없이 기억하고 있다.
14,여러분들의 다양한 아이디어를 제안하고 나누는 채널입니다.
15,LG전자서비스 노조의 해산 조치를 조사해 주시기 바랍니다.
16,즐거운 이야기를 듣다 보니 시간이 금방 지나갔어요.
17,"최종구 금융위원장, 해고하라!"
18,정부의 도움이 절실히 필요합니다.
19,2023 아시안컵 공동개최에 반대합니다.
20,가방에 넣어 다니며 조금씩 먹습니다.
21,김기덕과 조재현에 대한 성폭행 의혹은 철저히 수사해야 한다!
22,양보는 한입 먹는 순간 고삐가 풀릴 것 같아요 ㅋㅋ
23,조금 유치하지만 가볍게 볼 수는 있는 영화네요!
24,입대하기 전에 봤는데 윈터스 같은 사람이 진심으로 아껴준다면 목숨을 걸고 싸워도 후회는 없겠죠? 라고 생각했던 기억이 나네요.
25,"청와대 뉴미디어정책실은 국민청원 글을 삭제하여 부당한 피해자를 살해하고, 경찰에 증거를 제출하며 악플러를 구출하기 위해 이를 은폐하고 있다."
26,이재용을 체포하고 구속수사를 진행해 주세요.
27,"마지막으로 재택근무의 장점에 대해 이야기를 나누었고, 시간을 효율적으로 사용할 수 있어 감사했고, 재택근무의 장점을 다시 한 번 느낄 수 있었습니다."
28,겨울산은 예쁜데 저는 등산을 잘 못해서 대만족입니다.
29,한 사람의 파멸을 드러내는 영화
30,금융감독원의 공모주 개인배분 축소(폐지) 방지를 촉구합니다.
31,현재는 매우 만족스러워합니다.
32,"오, 저도 그 노래를 좋아해!"
33,이 영화는 매우 뛰어난 작품이라고 생각한다.
34,전설에 따르면 삼천리(삼천리)에 따르면 이 영화는 꽤 괜찮을 뿐만 아니라 내가 제일 좋아하는 장학우와 장만옥도~...
35,드시고 싶었으면 얼마나…
36,재산을 몰수하는 것은 보험을 해서는 안 됩니다.
37,엑소의 빌보드 기록이 공개되었습니다.
38,알리슨 로먼이 벗어난 것은 충격 -_-;;
39,대구광역시에서 휴교령을 내려주십시오.
40,이제야 이런 명작을 본 것이다.
41,저는 무엇을 하는 존재인가요?
42,청소년 보호법을 폐지해주시기 바랍니다.
43,의료 환경을 개선하고 경찰과 소방관을 지원해 주시기 바랍니다.
44,정부지원금 부정수급으로 인한 최저임금 인상 혜택을 부당하게 받은 자를 적발하고 처벌해 주시기 바랍니다.
45,산책을 낮에 꼭 하세요!
46,저는 사과나 우유에 프로틴파우더 먹어요.
47,그렇게 생각하면 별로 맘에들지 않는다.
48,장애인에게 기초생활수급을 제공하기 위하여.
49,"국회의원, 도의원, 시의원 등 3선 이상 출마 금지."
50,단일 아이스하키 팀을 구성하는 것을 반대합니다.
51,아이들에게 보이기 좋을 거 같아요.
52,야옹이얘기와 재밌는 이야기를 하다보니 시간이 가는 줄 몰랐어요.
53,이 정도 수준으로 영화관에 내보내는 것은 관객에 대한 모독이다.
54,여성가족부를 폐지하고 그 예산을 좀 더 올바르게 사용하는 것이 좋습니다.
55,유령 나오는 순간 멜로디는 어릴 때 충격적이였지.
56,난이게 제일 재밌었어요.
57,청소년법 폐지를 적극 지원합니다.
58,겹치는 장면이 재미있어.
59,이건 절대 최악입니다.
60,우리가 회사를 처음 들어서자마자 좋은 문화를 충분히 맛보게 됩니다.
61,!!'그루밍 범죄'는 청소년 성폭력 범죄에서 절반을 차지하고 있다!!
62,운수롭지 않게 업종이 다릅니다!!
63,업무와 부트캠프 얘기부터 앞으로 진로 얘기까지 나누다보니 한 시간을 훌쩍 넘게 수다를 떨었네요.
64,"변호사 시절 찍은 사진, 그렉과 함께 전시한 사진, 범행 현장 사진까지도 폴은 자신의 이름을 달 수 없었다."
65,"누가? 저랑 <PERSON>, 그리고 경주에 가까이 사시는 분이든 서울에 사시는 분이든 놀 준비가 되신 분들."
66,너무 멋있어요!!
67,뮤직비디오 시청을 추천합니다.
68,긴급상황 발생 시 개인 재산(주차 차량) 침해 허용
69,어린이집 이용 시간을 현실적으로 조정해 주세요.
70,어제 <PERSON> 님과 한 시간 동안 이야기 나눴습니다.
71,저도 데스크탑을 사용 중입니다!
72,스우파 리정과 시미즈에서 리정 배틀곡으로도 알려져 있습니다.
73,좋은 영화가 감성을 자극했습니다.
74,하체는 고관절을 신청합니다.
75,"문재인님, 제발 욕설하지 마세요."
76,투혼과 함께 반드시 볼 만한 최고의 영화는 복수의 칼날 반담입니다.
77,"아하하, 인터넷 설치가 필요할 줄 알았는데, 결국 돈이 들게 돼서 돈을 굴리는 느낌이네요."
78,앞으로 일을 통해 다시 만날 수 있을지 생각이 들었다.
79,소년법 개정에 대해 폐지를 청원합니다.
80,가상화폐 거래소 패지 반대
81,각자 사는 곳의 날씨 이야기를 시작으로 나누었습니다.
82,MBN을 강력하게 제재하세요!!!
83,여자 아이스하키 단일팀 반대합니다
84,천천히 회복하여 휴식을 취하세요.
85,저도 클라이밍을 정말 배우고 싶은데 기회가 된다면 같이 해보는 것도 좋을 것 같아요.
86,물의 요정이군! ㅋㅋ
87,워크샵 다음 날 아침 8시에 하기 쉽지 않았지만 ㅋㅋ 다음엔 반도전~~!!
88,청년 실업 문제 해결을 위한 방안 제안
89,왕갈비가 최고였습니다. 정자에 부는 시원한 바람도 일품이었습니다. 최고최고~~
90,재밌는 컨셉을 감추지 못해 숨길 수 없는 퀄리티...
91,소년법을 폐지할 것을 요구합니다.
92,이거 재밌으니까 한번 보세요 ㅋㅋ
93,-아쉬움에 점이 없다~~
94,친구는 무서워서 추천해줬다.
95,오오 기대됩니다~~
96,모든 영화는 아닌척하지만 다 우리 자신에 대한 위로이다.
97,"어머, 어쩜 그럴 거예요!! ㅋㅋ 너무 신기하네요 ㅎㅎ"
98,벌써 4개월 정도 되서 입사한지 이제네요.
99,매우 공감을 받고 있습니다.
100,히딩크 감독이 다시 대한민국 축구 감독으로 돌아왔다.
101,자영업자들을 죽이실 겁니까?
102,저는 큰 사이즈의 모션 데스크를 사용하고 있으며 만족합니다.
103,회사 이름은 언급하지 마십시오.
104,이명박 씨의 출국을 금지해 주세요.
105,뒤통수를 맞은 것 같은 느낌.
106,근로복지라는 숙제를 남겨주셔서 해피엔딩이었으면 좋았을 텐데 좋았습니다.
107,건강보험 보장 확대에 오타반점 제거 시술도 포함시켜 주세요.
108,청와대 국민청원 근거 없이 삭제된 내용의 직권남용에 대해 직원에 대한 형사 처벌을 요구합니다.
109,가난한 영화의 여운은 그녀가 하는 말을 듣고 싶다.
110,한국의 '귀신이 산다'와 '시칠리아 ㅇkm'는 완성도가 높다.
111,이 영화는 너무 지루하다.
112,민간 어린이집과 가정 어린이집 운영에 필요한 지원금을 제공해 주시기 바랍니다.
113,"원작의 분위기와 환경, 스토리를 최대한 살려야 했지만, 세 사람 모두 다른 이야기를 만들어야 하는 것 같았다."
114,모두 맛점하세요~
115,간만에 좋은 영화를 봤다.
116,그리고 그림을 그리는 것을 좋아하셔서 타블렛까지 구매하셔서 종종 그림을 그립니다.
117,나경원 비서관과 나경원 특검에 대한 욕설 요구
118,드라마에서 저렇게 잔으로 마시는 장면을 보면 무슨 진정인지 알 수 없지만 그냥 감상만 한다.
119,주 52시간 근무제에 대한 의견입니다.
120,다자녀 가구의 부모에게 공무원 우선채용을 제공.
121,인도에서 오는 비행 2주간 금지라고 합니다.
122,다양한 공간에서 삶의 방식을 즐기라고 합니다.
123,집값 안정화를 위한 제안을 통해 주택 시장의 안정성을 확보하겠습니다.
124,황제제를 폐지하고자 합니다.
125,풍등 제작 및 날리기 행위는 법으로 금지되어야 합니다.
126,이 책을 읽으면서 헛웃음이 나오네요.
127,미세먼지 대책 마련을 위해 중국 발전 전략을 강화해 주세요.
128,"이 영화는 여배우의 노출이 심했지만, 재미가 없어 졸리게 보았다."
129,핸드폰 액정 자동꺼짐 기능을 5m 이동 시 활성화하도록 의무화하세요.
130,우리는 같은 목표를 향해 나아가고 있었다.
131,(잘 어울리는 것 같아요)
132,.상어 나오는 영화가 이렇게 지루할 수 있다는데 박수를 보낸다.
133,부트캠프 2반에서 고등학생이 있다는 사실에 놀란 경험을 나누었다.
134,지진을 방지하기 위한 대책을 마련해 주세요.
135,조두순의 출소를 반대하는 청원
136,"이 작품은 전쟁을 미화하지 않고, 전쟁을 일으키는 일본 정부를 비판하며, 비행기를 디자인하는 청년의 꿈을 그린다고 해석할 수 있습니다."
137,평화로운 곳이라면 최고의 삶을 살 수 있다.
138,드라마보단 영화 부작이 짱...
139,"공포감도 별루고, 암튼 비추."
140,이 감독의 영화는 거의 보지 않는 것이 좋다.
