0,"There are ups and downs, love, and fun."
1,"Oh, you don't have access."
2,Change the criteria for housing loan eligibility for non-homeowners.
3,It was really nice to meet you in person after only seeing you through video calls.
4,"Really, let's meet once and scatter it around!"
5,"Oh My God, Jesus Christ, I'm Scared East"
6,"Even if I take a picture, the sky is black."
7,This is the first horror movie that's this scary.
8,The most urgent thing is managing the neonatal ward!!!
9,Can you process a refund for the cream house?
10,I need to take it out of the book!
11,It's getting boring because the development is too slow.
12,It's nice to see John Cusack's acting again.
13,I remember it as being without any big changes...
14,This is a channel where you can share and exchange diverse ideas among each other.
15,Investigate the union busting of LG Electronics Service.
16,"Talking about such an exciting story, time flew by in no time."
17,Firing Chairman Choi Jong-guk!
18,Government assistance is desperately needed.
19,We oppose co-hosting the 2023 Asian Cup.
20,I carry it in my bag and eat it little by little.
21,Investigate Kim Ki-deok and Jo Jae-hyun's sexual violence allegations thoroughly!
22,It feels like the dam will burst open the moment I take a bite of this.
23,This movie is light and enjoyable to watch despite being a bit long.
24,"I remember thinking that if someone like Winter had genuinely helped me out before I enlisted, I wouldn't regret risking my life to fight, haha."
25,"The Presidential Blue House's New Media Policy Office is unjustly killing victims, submitting evidence to the police, and covering it up to rescue the harassers."
26,Confinement of Lee Jae-yong is requested.
27,We discussed the advantages of telecommuting and appreciated being able to use our time efficiently and experiencing the benefits of telecommuting again.
28,Winter Mountain is pretty but I am not good at hiking so I am very dissatisfied.
29,A film that reveals the downfall of one person
30,Prevent the reduction of individual allotment for public offerings by the Financial Supervisory Service.
31,I am very satisfied now.
32,"Oh, I like that song too!"
33,I think it's a well-made movie.
34,"According to legend, this movie is quite good, not just me, but also my favorite classmates, Zhang Jianxiong and Zhang Manyu..."
35,As much as you would like to eat...
36,Insurance cannot seize assets.
37,Exo's Billboard incident revealed.
38,"However, Allison Roman left a shock."
39,Declare a holiday in Daegu City.
40,Why am I just watching this masterpiece now?
41,Who am I??
42,Please repeal the Juvenile Protection Law.
43,We appreciate your support for improving medical environments and for police and fire department officials.
44,Please investigate and punish those who falsely claim government support due to the increase in the minimum wage.
45,I highly recommend a daytime walk!
46,I eat apples or milk with protein powder.
47,It's not something that I particularly like.
48,For individuals with disabilities who receive basic living subsidies.
49,"Term limits for members of the National Assembly, provincial councils, and city councils are three terms."
50,I am against forming a single ice hockey team.
51,It looks like the kids will like it.
52,I was having a fun conversation about my cat and lost track of time.
53,This level of movie theater is an affront to the audience.
54,Disband the Ministry of Gender Equality and use its budget more properly.
55,"When I heard the melody, it was shocking to me when I was young."
56,That was the most fun.
57,Support the abolition of the Juvenile Act.
58,The comedic timing is great.
59,This is the best.
60,"We have been experiencing the good culture of our company since the first day, haha."
61,Grooming crimes account for half of youth sexual violence crimes.
62,"Thankfully, the industry is different!!"
63,"We talked about each person's work and bootcamp, and then went on to discuss future prospects, and before we knew it, an hour and a half had passed."
64,"The photos taken during his time as a lawyer, the photos with Greg, and even the crime scene photos are all unable to bear his name."
65,"Who is it? You and <PERSON>, whether you live near Gyeongju or in Seoul, people who are prepared to play."
66,It's really stylish!!
67,I recommend watching music videos.
68,Emergency response allowed to damage personal property (parked vehicle) in emergency situations.
69,Adjust the usage time of the daycare to be realistic.
70,I talked with <PERSON> for an hour yesterday!!
71,I'm also using Death's Caretaker.
72,The battle song of Sowofa Lee Jung vs Shimizu is also Lee Jung's song.
73,A movie that touched my heart.
74,"I'm happy to help! Here is the translation of the Korean sentence:

Lower body, please!"
75,"Mr. Moon, please don't make a scandal."
76,"The greatest movie with spirit and passion is ""Rurouni Kenshin."""
77,"I thought I had to install the internet, but it feels like I'm throwing my money away."
78,I wonder if I'll see you again through work.
