0,"It's thrilling and has twists, and it's different from most Korean movies that are trash."
1,"Oh no, it says I don't have access."
2,Change the housing loan conditions.
3,It was nice meeting you for the first time after joining.
4,It's really cool!!
5,Omelette with strawberry and whipped cream.
6,Just snapping a photo makes me feel like I'm in heaven.
7,These adorable mice are the first ones I've seen.
8,Air pollution is the most urgent problem.
9,Refund the Cream House.
10,"I'll take out this book first, okay!"
11,The pacing of the plot is too slow and frustrating.
12,"It's been a while since I've seen Johnny Depp's acting, it's great!!!"
13,"So, I remember it was pretty unremarkable."
14,This is an image of a team I formed within the game.
15,LG Electronics Smartphone Production Halt Petition
16,"It's nice to see you! I'm having such a fun conversation that time is flying by, haha."
17,Fire Chairman Choi Jong-koo!
18,I really need the government's help.
19,I am withdrawing from the next year's Russia World Cup.
20,I got a new haircut.
21,Investigate the sexual assault of Kim Ki-deok and Jo Jae-hyun thoroughly!
22,"When I'm feeling frustrated, it feels like my heart might burst."
23,"The video leaves a strong impression thanks to the harmonious match with the song, despite its brevity."
24,"I remember thinking that if I had someone like Winter's Winter, even if I had to fight with my life on the line, I wouldn't regret it."
25,"The Presidential Blue House's New Media Policy Office deletes a post on the People's Petition, hides evidence from the police, and allows the perpetrator to continue posting malicious comments, causing harm to the innocent victim."
26,Punish Chun Doo-hwan.
27,"I appreciated the advantages of remote work, especially the ability to use time efficiently, and I felt the benefits of remote work again."
28,"The winter scenery is beautiful, but I'm stuck with a sense of accomplishment since I didn't climb the mountain."
29,A film that starkly revealed the downfall of one person.
30,Prevent the reduction (abolition) of individual allotment for the public offering of the Financial War College.
31,I am very satisfied right now.
32,I also really like that song.
33,That's a well-made movie.
34,"According to legend, it's said that this movie is quite good, not just that it's said to be good, but I also like Jang Hak-woo and Jang Man-ok..."
35,I want to eat it again.
36,Foreclosure should not be used to seize assets.
37,EXO's Billboard Incident Public Discussion
38,"Even if there's no reason, I'll go."
39,Please declare a school closure.
40,Why am I watching this masterpiece now?
41,Is age the problem?
42,Please abolish the Juvenile Law.
43,Improve the medical environment and support police and firefighting public officials.
44,Please ensure that public officials do not receive improper allowances.
45,I highly recommend taking a daytime walk!
46,I wonder why I got into the pot.
47,"I watched it with my younger sibling and it wasn't scary at all, it seemed like we had a good time."
48,Alcoholics receiving basic livelihood benefits?
49,Let's drop the district council and city council elections.
50,I oppose the formation of a single ice hockey team.
51,It would be good if our children didn't see it.
52,We talked for so long that we didn't even notice the time passing.
53,"However, there is no consideration for the audience."
54,It would be good if the current facilities were managed a bit better.
55,But melodramas are boring haha.
56,It seems the best to me.
57,I strongly participate in the abolition of the Juvenile Law.
58,Overlapping scenes are funny.
59,This is amazing.
60,I read the beginning of the book and it had tips that fit well with our company culture and work style!
61,A law against groping sexual offenses is needed.
62,"Fortunately, the industry is different!!"
63,"I was too busy talking about the boot camp program and recommending domains to realize how quickly time had flown by, and I was left feeling quite regretful."
64,"The photos he took as a lawyer, the photos he displayed with his pseudonym, and even the photos of crime scenes he captured are all unable to bear his name."
65,What did <PERSON> bring yesterday?
66,The restaurant was really great.
67,I recommend watching music videos.
68,Request for the establishment of regulations for illegal parking enforcement.
69,Please give the day care support money to the parents.
70,I had dinner with <PERSON> last night!
71,I'm on an endless refill challenge with kimchi!
72,Resized to fit Google Meet.
73,Does not evoke emotions.
74,High-quality video editing!
75,Don't just criticize President Moon Jae-in.
76,The legal wrangling and plot twists are the charm of this movie.
77,I thought it would be as big as a bamboo but it's fascinating.
78,I wonder if we will be able to meet again through future work.
79,We demand a heavier sentence for Cho Doo-soon.
80,I oppose the virtual currency regulation.
81,"In the past, a unit of the army arrived in a village during a war in Europe."
82,We need imported Daedong beer!!!
83,Girls' ice hockey team opposes single team composition.
84,Recover slowly and rest.
85,"I also want to learn climbing very much, if the opportunity arises, it would be great to do it together!!!"
86,Water knows the answer.
87,Let's prepare the workshop quickly too!
88,Practical unification plan 2
89,"Here is the translation:

You should try the galbi here and look around; it's really great."
90,They both have a shy demeanor but can't hide their chattiness.
91,Allow immigration.
92,"It's so fun, haha!"
93,Grandma: I want to play basketball.
94,"Watching, I felt that the protagonist was very pitiful."
95,Welcome to the conversation system!!!
96,It's a movie that makes you think about and reflect on yourself.
97,"Wow, that's amazing!"
98,Today is the 100th day since I joined this company.
99,I completely agree with this.
100,We need to bring in Hiddink.
101,Are you doing it for the country or going down that road for personal gain?
102,I do laundry every day without a dryer and it's always a hassle.
103,Don't mention the company name.
104,Stop Lee Myung-bak from leaving.
105,It feels like it's about to explode suddenly.
106,"I wish there had been a happier ending, but it seems like we've been left with the unfinished tasks of labor welfare."
107,"Remove waiting period for treatment for compression fractures of the cervical, thoracic, and lumbar spine."
108,Disclose the names of the petition signers for the Cheonghwaedae petition.
109,I want to watch the movie more than the fun.
110,"South Korea's ""Gwisin that Sunda"" or ""Sisilyi km"" is highly polished."
111,"I don't know why, but to me, it was a very boring and uninteresting movie personally."
112,Please create a law tailored to kindergartens and family kindergartens.
113,"It was most important to preserve the atmosphere and environment of the original story, but it seemed like they forced in a completely different story."
114,How was everyone's meal?
115,I watched the worst movie in a while.
116,"He still coaches in the morning and often brings his family along, saying it's a family exercise."
117,"I request an investigation into the allegations of profanity directed at Na Gyeong-won's secretary and Na Gyeong-woon, the councilor."
118,"I don't know what it is, but I drink it like in a drama, haha."
119,About the 52-hour workweek.
120,Having only two children also entitles you to a benefit for multiple children.
121,They say that there is a way to prevent a child from getting hooked on games.
122,Enjoying a healthy hobby and healthy food is a good thing.
123,Petition for housing price stabilization.
124,Remove Emperor's No.
125,Ban on use of the Rising Sun Flag and the War Flag.
126,I burst out laughing while reading this.
127,Recruit volunteers to clean up dust from China.
128,The eating scene with Nam-ju is edited out due to disgust.
129,Install a speed camera instead of a speed radar gun.
130,We shared similar aspirations.
131,I can do it too.
132,"This kind of movie is not boring, but it's surprisingly boring."
133,"I also had an experience where I was surprised to find a high school senior among the bootcamp 2nd batch students, so I shared it."
134,Take measures against the heatwave.
135,Opposition to Jo Joo-sun's parole release.
136,"The theme of this work is not the beautification of war, but rather a direct criticism of the Japanese government for turning the world into an enemy and making war unjustifiable, as well as a young man's dream of designing airplanes."
137,"In the case of peace, there is a one-step change."
138,"Better than expected, better than expected...the excess of chance"
139,Running and running.
140,This movie is the same.
141,Songpa-gu mayor helio city bribery public interest report.
142,Please abolish the full prohibition on public pension fund investment in stocks.
143,It will be shared to the students this afternoon at 7 o'clock.
144,The rumor is that they gathered on Fridays.
145,"Please don't use individual petitions, sort by recommendations so that we can get around 30,000 participants."
146,Because of battery concerns.
147,Eternal time... and eternal love.
148,"On Children's Day, a bamboo tree came to the mountain."
149,Repeal the Kim Young-ran Law.
150,Application for travel ban on MB.
151,I request a reduction in apartment water fees.
152,I petition for the abolition of the statute of limitations for criminal offenses.
153,It's a total bust.
154,Very deadly.
155,A massive aftershock follows.
156,"The story started with a tale about vision and style, and ended with a work-related topic, haha."
157,I hope I get into the regular admission track.
158,I got the feeling that I could quickly become close with the people I met for the first time!
159,Just that much like a kill time.
160,I'll watch this war movie for the first time haha good haha
161,Pay MPs 7530-grade salary.
162,"Wow, my back feels much more comfortable!"
163,The funniest movie ever.
164,Our PK citizens strongly support President Moon Jae-in.
165,Let's not be fooled by the ratings.
166,We found it and put it away!
167,Students should be able to participate in the vote.
168,The principal of a school in Seoul sold a student's personal information!
169,Let's light the candles for the July 28th refugee ban protest.
170,Pretending to brag about our third cat.
171,The most disappointing part was the premiere environment.
172,"Tightening laws on underage drinking, smoking, and violence."
173,Let's have a fun story next time!
174,Thank you for watching.
175,We need an independent counsel.
176,Campaign vehicle noise pollution
177,"Na Kyung-won, a member of the Pyeongchang Olympic Committee, was dismissed."
178,Ways to save small business owners
179,"When giving a grade, it should be done in person."
180,There is no perfect world in the world.
181,"He's really acting like a total madman, haha."
182,A tremendous sense of gratitude to you!
183,I want to go to the military at my age.
184,It's not like a children's fairy tale.
185,Don't get caught up in the title...
186,The lists are amazing.
187,"Wow, that's great!"
188,What is this so ridiculous?
189,Thinking about the company a lot when I see this.
190,I'm really curious about Jeju!
191,"Sharing time with you, connecting SuPa-SuPa-ShowMe, was really fun."
192,Please pay attention to education.
193,"I think there are some colleagues who share similar hobbies, so let's often talk about them and share our experiences."
194,We need anonymous complaints and responses.
195,"Even in this emergency state of Korea, those who fabricate false information and conceal the truth to turn the public into pigs, including broadcasters, media, Naver, Daum, and newspapers, should be arrested."
196,It looks too old now.
197,"In August, I will definitely go get a pedicure."
198,Professor Lee's anger
199,I want to know if I can supplement the contract-related law regarding derivative transactions.
200,I really wonder what they do over at the house next door...
201,"The OST is great, and it's great too... haha."
202,"I'm not sure if I can post this, but I didn't search for it on purpose, and YouTube recommended it to me, haha."
203,I recommend GMO ban.
204,Provide the minimum exercise time for high school students.
205,"New Korean pension system combines military pension, educational pension, and national pension."
206,Consistent interest in the out-of-district center.
207,It's fun to watch when you're bored.
208,Disclose and return the special parliamentary activity expenses.
209,"Establish a land ownership tax as measures for real estate, fair taxation, growth momentum, low birth rates, aging population, childcare, national pension, and economic democratization."
210,The movie really reflected reality well.
211,"Paris, breeze, girl, thief, cat... Despite the background being mostly fences and rooftops, the animation stands out for its visual individuality rather than the story."
212,Timeless masterpiece...Shakespeare's original work itself.
213,I planted broccoli and romaine lettuce.
214,There is no committee for the participation alliance.
215,"I've never seen the Ju-On series before, so it's really scary, isn't it?"
216,Arrived safely in dead battery mode haha.
217,Abolish all insurance and life insurance companies.
218,Strengthening and Improving Animal Protection Laws
219,Request to modify the 52-hour workweek system.
220,Please watch the performance and let me know the review.
221,We expel the Liberty Korea Party.
222,"I had many questions about design, and I was curious."
223,High-ranking officials are exposed.
224,You need to water the flowers.
225,Prevent wasteful spending.
226,"Looking at that, being an actor is a pretty good job, and it's true that it's hard work in actual practice. But even if being an actor is as tough as it seems, is it not worth the effort?"
227,I love Su-ji's voice.
228,"Lately, many people have been interested in clean code, so I immediately started a Serious Python study group because I'm so into it that I nose-dive into the code."
229,"We were talking about companies and then the topic of the popular series Squid Game came up, and Lee Jung-jae shared his acting secrets."
230,I'll tell you just three things!
231,Small business owners are crying over the #MeToo movement.
232,The Ministry of Environment faced a crisis of exposed sandbars and oyster deaths due to the opening of the Ipo section of the Han River in the 4th phase of the Four Rivers Restoration Project.
233,It's too pitiful at the end...
234,How about you?
235,The people of the Republic of Korea are curious.
236,Please provide the correct Korean sentence.
237,"I look really great, it seems."
238,Gas surcharges are charged at gas stations.
239,Was there a movie that made me feel suffocated?
240,"The military salary increase for 2018 will be applied from January, so please pay it retroactively in February."
241,Americans might have fun too.
242,They proceeded leisurely while having individual meals.
243,"I'm so pathetic, I'm pathetic haha."
244,The plot is completely spoiled. Everything up to the ending is already out.
245,To catch a story.
246,It seems like there won't be any more action movies.
247,Reveal the identities of powerful crime suspects.
248,This is too delicious.
249,Let's abolish the Ministry of Gender Equality.
250,I want to go abroad.
251,I was late for the meeting.
252,"Really, all cat ladies love tsars, don't they?"
253,"If Mars appears, I'll change the channel right away."
254,The song was good but the story was disappointing.
255,Opposition to Jo Doo-soon's parole / Rehearing
256,You look perfect haha.
257,We talked for about an hour.
258,I didn't know how much she cried while watching.
259,Motorcycle (two-wheeled vehicle) prohibition of pedestrian crossing use legislation.
260,"Although I'm not familiar with opera, I seem to know why this work is famous."
261,I've always wanted to try climbing sometime.
262,Unrealistic clichéd ending
263,"The people who arrived first are gathering in the picnic area on the left side outside to participate in a campfire, haha."
264,Who made this thing?
265,"Men usually wear leggings with shorts, right?"
266,"Wow, I came to see you at Dongbu area, but it's a bit inconvenient since you didn't call me, but the vibe is pretty good!!"
267,"Just press it once, please!!"
268,I would have made it more solemn and dark.
269,It's really bad;;; the story is too and the cast is too.
270,"Therefore, I seem to get along well with people who have NF and I have many ENFP friends, they say."
271,I know what insults you'll shout after watching this movie.
272,"I haven't used it much since I left it in Seoul, but it seems to be a good value."
273,Require mandatory labeling of precise caffeine content.
274,You've worked so hard.
275,The character who matches perfectly with someone's breathing is amusing.
276,There are many blind hiring places.
277,I also received it in the morning.
278,Let's have a co-teaching competition.
279,Did you find this interesting?
280,I am expecting but it is below my expectations.
281,Perfect harmony between the setting and the story.
282,This song is one that resonates with me personally.
283,Life is uncertain.
284,I had a really great time.
285,Thank you.
286,Consider early pension return.
287,It's hard for a domestic thriller like this to come out.
288,I claim compensation for punitive damages.
289,I support the charging fee assistance!
290,This is a foreign cult film.
291,I feel that way every year on Dae Jang Geum's birthday...
292,"Considering the desk size, you'll be working in an iMac environment, I see."
293,"The atmosphere was quite relaxed, and if you both get excited and release your pent-up energy, it seems like the office atmosphere will become light and easy to manage, haha."
294,I walked with you last week!
295,Mandatory mental health education petition
296,He wears a wig in a very casual and sloppy manner.
297,Can we really take two people like this?
298,It feels like I don't have any authority or it's not visible.
299,I want to die peacefully.
300,Future economic collapse of South Korea
301,Don't raise the interest rate without greenbelting.
302,"Reduce the number of National Assembly members, please!!!"
303,Investigate the draft dodging allegations against actor Jang Geun-seok.
304,In favor of introducing a digital currency system.
305,The powerful force that only a medium like a movie can exert.
306,The Chopin music that flows from start to finish is perfect.
307,"You already know that, right?"
308,The monitor is amazing!
309,I never thought the voice could ruin a movie like this.
310,"Oh, I just saw this vacation information post now."
311,"I watched it without any expectations and it was a bit boring at first, but it got more interesting as I watched and the final punchline left a lasting impression; the movie is really captivating."
312,Uniformization of winter school uniforms for girls.
313,"Heh-heh, let's talk more about that."
314,Old movies...
315,Help me with my insomnia.
316,I am a mid-level manager at a department store.
317,Implement the people's livelihood bills and the Panmunjom National Assembly Bill.
318,A film that well depicts the psychology of a rebellious young girl.
319,Eliminate all kinds of favoritism.
320,Change the North Korea policy to a hardline stance.
321,Thank you always.
322,I'll let you know the feedback.
323,It's just now that I realize.
324,It's raining a lot.
325,I humbly request your agreement on the fine dust matter.
326,Not for killing time.
327,"The movie itself was okay, but lacked mass appeal."
328,Injury compensation for non-regular workers and criminal liability of employers
329,This is an amazing movie.
330,"Whenever you have questions about research and business, I'll take the time to explain."
331,"I recently discussed with someone about what they have been up to and shared small neighborhood gossip, and I found out that they were a time-transcending neighborhood resident."
332,Information about the master class scheduled for next week.
333,You speak Korean very fluently and you are also very fluent in WoW.
334,Punish people who are emotionally abusive to call center staff.
335,Well-designed composition.
336,The theme is too loose.
337,"Raising the physical fitness standards for female firefighters is unfair, so please recruit without distinguishing between men and women."
338,Exclude dogs from livestock.
339,You can turn off the alarm on this channel since you're in a test mode!!
340,Please do it for real one more time.
341,I'm really sad that this is the final episode.
342,Formal Style Editor Thank You Request
343,"Wow, that's a really impressive goal!"
344,Is violent film considered art because it is sensational and experimental?
345,Abolish high school uniforms.
346,Is the fact that Sim Jae-cheol attended a meeting twice worth 90 million won?
347,That looks fun..
348,The status of temporary workers.
349,I thought I was as different from you as heaven and earth.
350,President of the Korea Football Association in the Modern Era.
